q1,q2,q3,q4,q5,x,y,z,1
0.0,1.3380857598623195,1.2217304763960306,1.0471975511965976,4.1887902047863905,-1.041,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,1.0471975511965976,6.283185307179586,2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,2.0943951023931953,0.0,-2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,2.0943951023931953,2.0943951023931953,1.041,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,2.0943951023931953,4.1887902047863905,1.041,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,2.0943951023931953,6.283185307179586,-2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,3.141592653589793,0.0,-4.165,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,3.141592653589793,2.0943951023931953,2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,3.141592653589793,4.1887902047863905,2.082,0.0,0.0,0.0
0.0,1.3380857598623195,1.2217304763960306,3.141592653589793,6.283185307179586,-4.165,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,0.0,0.0,-9.328,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,0.0,2.0943951023931953,4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,0.0,4.1887902047863905,4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,0.0,6.283185307179586,-9.328,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,1.0471975511965976,0.0,-4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,1.0471975511965976,2.0943951023931953,2.332,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,1.0471975511965976,4.1887902047863905,2.332,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,1.0471975511965976,6.283185307179586,-4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,2.0943951023931953,0.0,4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,2.0943951023931953,2.0943951023931953,-2.332,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,2.0943951023931953,4.1887902047863905,-2.332,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,2.0943951023931953,6.283185307179586,4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,3.141592653589793,0.0,9.328,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,3.141592653589793,2.0943951023931953,-4.664,0.0,0.0,0.0
0.0,1.3380857598623195,2.443460952792061,3.141592653589793,4.1887902047863905,-4.664,0.0,0.0,0.0
